onset	duration	trial_no	event_type	category_id	category_index	response_time	evaluation
0	33	1	rest	n/a	n/a	nan	n/a
33	3	2	cue	3345837	28	52.660814	5.0
36	15	2	imagery	3345837	28	52.660814	5.0
51	3	2	evaluation	3345837	28	52.660814	5.0
54	3	2	inter_rest	3345837	28	52.660814	5.0
57	3	3	cue	2437136	14	76.868061	5.0
60	15	3	imagery	2437136	14	76.868061	5.0
75	3	3	evaluation	2437136	14	76.868061	5.0
78	3	3	inter_rest	2437136	14	76.868061	5.0
81	3	4	cue	4572121	50	100.529280	5.0
84	15	4	imagery	4572121	50	100.529280	5.0
99	3	4	evaluation	4572121	50	100.529280	5.0
102	3	4	inter_rest	4572121	50	100.529280	5.0
105	3	5	cue	1976957	7	124.856135	5.0
108	15	5	imagery	1976957	7	124.856135	5.0
123	3	5	evaluation	1976957	7	124.856135	5.0
126	3	5	inter_rest	1976957	7	124.856135	5.0
129	3	6	cue	1846331	4	148.699641	5.0
132	15	6	imagery	1846331	4	148.699641	5.0
147	3	6	evaluation	1846331	4	148.699641	5.0
150	3	6	inter_rest	1846331	4	148.699641	5.0
153	3	7	cue	3710193	36	172.810184	3.0
156	15	7	imagery	3710193	36	172.810184	3.0
171	3	7	evaluation	3710193	36	172.810184	3.0
174	3	7	inter_rest	3710193	36	172.810184	3.0
177	3	8	cue	3482252	32	197.335768	4.0
180	15	8	imagery	3482252	32	197.335768	4.0
195	3	8	evaluation	3482252	32	197.335768	4.0
198	3	8	inter_rest	3482252	32	197.335768	4.0
201	3	9	cue	3272010	27	220.678818	5.0
204	15	9	imagery	3272010	27	220.678818	5.0
219	3	9	evaluation	3272010	27	220.678818	5.0
222	3	9	inter_rest	3272010	27	220.678818	5.0
225	3	10	cue	2128385	9	244.871789	3.0
228	15	10	imagery	2128385	9	244.871789	3.0
243	3	10	evaluation	2128385	9	244.871789	3.0
246	3	10	inter_rest	2128385	9	244.871789	3.0
249	3	11	cue	3379051	29	268.298555	4.0
252	15	11	imagery	3379051	29	268.298555	4.0
267	3	11	evaluation	3379051	29	268.298555	4.0
270	3	11	inter_rest	3379051	29	268.298555	4.0
273	3	12	cue	4252077	43	293.024684	4.0
276	15	12	imagery	4252077	43	293.024684	4.0
291	3	12	evaluation	4252077	43	293.024684	4.0
294	3	12	inter_rest	4252077	43	293.024684	4.0
297	3	13	cue	3064758	23	316.867850	5.0
300	15	13	imagery	3064758	23	316.867850	5.0
315	3	13	evaluation	3064758	23	316.867850	5.0
318	3	13	inter_rest	3064758	23	316.867850	5.0
321	3	14	cue	4210120	42	340.477533	5.0
324	15	14	imagery	4210120	42	340.477533	5.0
339	3	14	evaluation	4210120	42	340.477533	5.0
342	3	14	inter_rest	4210120	42	340.477533	5.0
345	3	15	cue	3941684	40	365.473837	4.0
348	15	15	imagery	3941684	40	365.473837	4.0
363	3	15	evaluation	3941684	40	365.473837	4.0
366	3	15	inter_rest	3941684	40	365.473837	4.0
369	3	16	cue	3954393	41	389.365349	5.0
372	15	16	imagery	3954393	41	389.365349	5.0
387	3	16	evaluation	3954393	41	389.365349	5.0
390	3	16	inter_rest	3954393	41	389.365349	5.0
393	3	17	cue	2139199	10	413.026676	5.0
396	15	17	imagery	2139199	10	413.026676	5.0
411	3	17	evaluation	2139199	10	413.026676	5.0
414	3	17	inter_rest	2139199	10	413.026676	5.0
417	3	18	cue	3761084	38	436.952403	4.0
420	15	18	imagery	3761084	38	436.952403	4.0
435	3	18	evaluation	3761084	38	436.952403	4.0
438	3	18	inter_rest	3761084	38	436.952403	4.0
441	3	19	cue	4297750	45	461.112221	4.0
444	15	19	imagery	4297750	45	461.112221	4.0
459	3	19	evaluation	4297750	45	461.112221	4.0
462	3	19	inter_rest	4297750	45	461.112221	4.0
465	3	20	cue	2274259	12	485.087911	5.0
468	15	20	imagery	2274259	12	485.087911	5.0
483	3	20	evaluation	2274259	12	485.087911	5.0
486	3	20	inter_rest	2274259	12	485.087911	5.0
489	3	21	cue	4554684	49	508.364003	5.0
492	15	21	imagery	4554684	49	508.364003	5.0
507	3	21	evaluation	4554684	49	508.364003	5.0
510	3	21	inter_rest	4554684	49	508.364003	5.0
513	3	22	cue	4533802	48	533.209011	3.0
516	15	22	imagery	4533802	48	533.209011	3.0
531	3	22	evaluation	4533802	48	533.209011	3.0
534	3	22	inter_rest	4533802	48	533.209011	3.0
537	3	23	cue	3122295	24	556.568414	4.0
540	15	23	imagery	3122295	24	556.568414	4.0
555	3	23	evaluation	3122295	24	556.568414	4.0
558	3	23	inter_rest	3122295	24	556.568414	4.0
561	3	24	cue	3124170	25	581.630905	4.0
564	15	24	imagery	3124170	25	581.630905	4.0
579	3	24	evaluation	3124170	25	581.630905	4.0
582	3	24	inter_rest	3124170	25	581.630905	4.0
585	3	25	cue	3626115	35	605.921539	5.0
588	15	25	imagery	3626115	35	605.921539	5.0
603	3	25	evaluation	3626115	35	605.921539	5.0
606	3	25	inter_rest	3626115	35	605.921539	5.0
609	3	26	cue	3716966	37	628.614805	5.0
612	15	26	imagery	3716966	37	628.614805	5.0
627	3	26	evaluation	3716966	37	628.614805	5.0
630	3	26	inter_rest	3716966	37	628.614805	5.0
633	6	27	rest	n/a	n/a	nan	n/a
