onset	duration	trial_no	event_type	category_id	response_time	evaluation
0	33	1	rest	n/a	n/a	n/a
33	3	2	cue	2797295	52.058957	5
36	15	2	imagery	2797295	52.058957	5
51	3	2	evaluation	2797295	52.058957	5
54	3	2	inter_rest	2797295	52.058957	5
57	3	3	cue	2437971	76.767922	5
60	15	3	imagery	2437971	76.767922	5
75	3	3	evaluation	2437971	76.767922	5
78	3	3	inter_rest	2437971	76.767922	5
81	3	4	cue	3767745	100.276511	5
84	15	4	imagery	3767745	100.276511	5
99	3	4	evaluation	3767745	100.276511	5
102	3	4	inter_rest	3767745	100.276511	5
105	3	5	cue	3584254	124.653329	4
108	15	5	imagery	3584254	124.653329	4
123	3	5	evaluation	3584254	124.653329	4
126	3	5	inter_rest	3584254	124.653329	4
129	3	6	cue	3455488	148.230828	4
132	15	6	imagery	3455488	148.230828	4
147	3	6	evaluation	3455488	148.230828	4
150	3	6	inter_rest	3455488	148.230828	4
153	3	7	cue	2416519	172.273587	4
156	15	7	imagery	2416519	172.273587	4
171	3	7	evaluation	2416519	172.273587	4
174	3	7	inter_rest	2416519	172.273587	4
177	3	8	cue	1677366	196.834179	3
180	15	8	imagery	1677366	196.834179	3
195	3	8	evaluation	1677366	196.834179	3
198	3	8	inter_rest	1677366	196.834179	3
201	3	9	cue	2071294	220.594107	4
204	15	9	imagery	2071294	220.594107	4
219	3	9	evaluation	2071294	220.594107	4
222	3	9	inter_rest	2071294	220.594107	4
225	3	10	cue	2951358	244.223046	4
228	15	10	imagery	2951358	244.223046	4
243	3	10	evaluation	2951358	244.223046	4
246	3	10	inter_rest	2951358	244.223046	4
249	3	11	cue	1443537	268.866405	4
252	15	11	imagery	1443537	268.866405	4
267	3	11	evaluation	1443537	268.866405	4
270	3	11	inter_rest	1443537	268.866405	4
273	3	12	cue	2882301	293.474022	4
276	15	12	imagery	2882301	293.474022	4
291	3	12	evaluation	2882301	293.474022	4
294	3	12	inter_rest	2882301	293.474022	4
297	3	13	cue	3495258	316.519608	4
300	15	13	imagery	3495258	316.519608	4
315	3	13	evaluation	3495258	316.519608	4
318	3	13	inter_rest	3495258	316.519608	4
321	3	14	cue	2950256	340.726593	5
324	15	14	imagery	2950256	340.726593	5
339	3	14	evaluation	2950256	340.726593	5
342	3	14	inter_rest	2950256	340.726593	5
345	3	15	cue	2824058	364.336612	4
348	15	15	imagery	2824058	364.336612	4
363	3	15	evaluation	2824058	364.336612	4
366	3	15	inter_rest	2824058	364.336612	4
369	3	16	cue	4254777	388.747609	4
372	15	16	imagery	4254777	388.747609	4
387	3	16	evaluation	4254777	388.747609	4
390	3	16	inter_rest	4254777	388.747609	4
393	3	17	cue	2690373	412.640045	4
396	15	17	imagery	2690373	412.640045	4
411	3	17	evaluation	2690373	412.640045	4
414	3	17	inter_rest	2690373	412.640045	4
417	3	18	cue	3237416	436.684186	4
420	15	18	imagery	3237416	436.684186	4
435	3	18	evaluation	3237416	436.684186	4
438	3	18	inter_rest	3237416	436.684186	4
441	3	19	cue	4387400	460.228948	4
444	15	19	imagery	4387400	460.228948	4
459	3	19	evaluation	4387400	460.228948	4
462	3	19	inter_rest	4387400	460.228948	4
465	3	20	cue	2190790	484.153519	4
468	15	20	imagery	2190790	484.153519	4
483	3	20	evaluation	2190790	484.153519	4
486	3	20	inter_rest	2190790	484.153519	4
489	3	21	cue	1858441	508.097633	4
492	15	21	imagery	1858441	508.097633	4
507	3	21	evaluation	1858441	508.097633	4
510	3	21	inter_rest	1858441	508.097633	4
513	3	22	cue	1621127	532.990595	3
516	15	22	imagery	1621127	532.990595	3
531	3	22	evaluation	1621127	532.990595	3
534	3	22	inter_rest	1621127	532.990595	3
537	3	23	cue	3452741	556.566848	5
540	15	23	imagery	3452741	556.566848	5
555	3	23	evaluation	3452741	556.566848	5
558	3	23	inter_rest	3452741	556.566848	5
561	3	24	cue	2916179	580.460673	5
564	15	24	imagery	2916179	580.460673	5
579	3	24	evaluation	2916179	580.460673	5
582	3	24	inter_rest	2916179	580.460673	5
585	3	25	cue	1943899	604.803622	3
588	15	25	imagery	1943899	604.803622	3
603	3	25	evaluation	1943899	604.803622	3
606	3	25	inter_rest	1943899	604.803622	3
609	3	26	cue	4507155	0.000000	1
612	15	26	imagery	4507155	0.000000	1
627	3	26	evaluation	4507155	0.000000	1
630	3	26	inter_rest	4507155	0.000000	1
633	6	27	rest	n/a	n/a	n/a
