onset	duration	trial_no	event_type	category_id	category_index	response_time	evaluation
0	33	1	rest	n/a	n/a	n/a	n/a
33	3	2	cue	2950256	21	57.012559	1.0
36	15	2	imagery	2950256	21	57.012559	1.0
51	3	2	evaluation	2950256	21	57.012559	1.0
54	3	2	inter_rest	2950256	21	57.012559	1.0
57	3	3	cue	2274259	12	81.008295	1.0
60	15	3	imagery	2274259	12	81.008295	1.0
75	3	3	evaluation	2274259	12	81.008295	1.0
78	3	3	inter_rest	2274259	12	81.008295	1.0
81	3	4	cue	2190790	11	105.016034	1.0
84	15	4	imagery	2190790	11	105.016034	1.0
99	3	4	evaluation	2190790	11	105.016034	1.0
102	3	4	inter_rest	2190790	11	105.016034	1.0
105	3	5	cue	4533802	48	129.009787	1.0
108	15	5	imagery	4533802	48	129.009787	1.0
123	3	5	evaluation	4533802	48	129.009787	1.0
126	3	5	inter_rest	4533802	48	129.009787	1.0
129	3	6	cue	1443537	1	153.003421	1.0
132	15	6	imagery	1443537	1	153.003421	1.0
147	3	6	evaluation	1443537	1	153.003421	1.0
150	3	6	inter_rest	1443537	1	153.003421	1.0
153	3	7	cue	2824058	18	174.013571	1.0
156	15	7	imagery	2824058	18	174.013571	1.0
171	3	7	evaluation	2824058	18	174.013571	1.0
174	3	7	inter_rest	2824058	18	174.013571	1.0
177	3	8	cue	4252077	43	196.436510	5.0
180	15	8	imagery	4252077	43	196.436510	5.0
195	3	8	evaluation	4252077	43	196.436510	5.0
198	3	8	inter_rest	4252077	43	196.436510	5.0
201	3	9	cue	2882301	19	220.317059	5.0
204	15	9	imagery	2882301	19	220.317059	5.0
219	3	9	evaluation	2882301	19	220.317059	5.0
222	3	9	inter_rest	2882301	19	220.317059	5.0
225	3	10	cue	3379051	29	244.175649	5.0
228	15	10	imagery	3379051	29	244.175649	5.0
243	3	10	evaluation	3379051	29	244.175649	5.0
246	3	10	inter_rest	3379051	29	244.175649	5.0
249	3	11	cue	2071294	8	268.034611	5.0
252	15	11	imagery	2071294	8	268.034611	5.0
267	3	11	evaluation	2071294	8	268.034611	5.0
270	3	11	inter_rest	2071294	8	268.034611	5.0
273	3	12	cue	3716966	37	292.543577	5.0
276	15	12	imagery	3716966	37	292.543577	5.0
291	3	12	evaluation	3716966	37	292.543577	5.0
294	3	12	inter_rest	3716966	37	292.543577	5.0
297	3	13	cue	3584254	34	315.853528	5.0
300	15	13	imagery	3584254	34	315.853528	5.0
315	3	13	evaluation	3584254	34	315.853528	5.0
318	3	13	inter_rest	3584254	34	315.853528	5.0
321	3	14	cue	2951358	22	340.963500	5.0
324	15	14	imagery	2951358	22	340.963500	5.0
339	3	14	evaluation	2951358	22	340.963500	5.0
342	3	14	inter_rest	2951358	22	340.963500	5.0
345	3	15	cue	3482252	32	364.173991	5.0
348	15	15	imagery	3482252	32	364.173991	5.0
363	3	15	evaluation	3482252	32	364.173991	5.0
366	3	15	inter_rest	3482252	32	364.173991	5.0
369	3	16	cue	1677366	3	388.900604	5.0
372	15	16	imagery	1677366	3	388.900604	5.0
387	3	16	evaluation	1677366	3	388.900604	5.0
390	3	16	inter_rest	1677366	3	388.900604	5.0
393	3	17	cue	1858441	5	412.743620	5.0
396	15	17	imagery	1858441	5	412.743620	5.0
411	3	17	evaluation	1858441	5	412.743620	5.0
414	3	17	inter_rest	1858441	5	412.743620	5.0
417	3	18	cue	4387400	46	436.354771	5.0
420	15	18	imagery	4387400	46	436.354771	5.0
435	3	18	evaluation	4387400	46	436.354771	5.0
438	3	18	inter_rest	4387400	46	436.354771	5.0
441	3	19	cue	2690373	16	460.247201	5.0
444	15	19	imagery	2690373	16	460.247201	5.0
459	3	19	evaluation	2690373	16	460.247201	5.0
462	3	19	inter_rest	2690373	16	460.247201	5.0
465	3	20	cue	3495258	33	484.508321	5.0
468	15	20	imagery	3495258	33	484.508321	5.0
483	3	20	evaluation	3495258	33	484.508321	5.0
486	3	20	inter_rest	3495258	33	484.508321	5.0
489	3	21	cue	2797295	17	509.651346	3.0
492	15	21	imagery	2797295	17	509.651346	3.0
507	3	21	evaluation	2797295	17	509.651346	3.0
510	3	21	inter_rest	2797295	17	509.651346	3.0
513	3	22	cue	4507155	47	532.694837	4.0
516	15	22	imagery	4507155	47	532.694837	4.0
531	3	22	evaluation	4507155	47	532.694837	4.0
534	3	22	inter_rest	4507155	47	532.694837	4.0
537	3	23	cue	2139199	10	556.921667	5.0
540	15	23	imagery	2139199	10	556.921667	5.0
555	3	23	evaluation	2139199	10	556.921667	5.0
558	3	23	inter_rest	2139199	10	556.921667	5.0
561	3	24	cue	1846331	4	580.181171	5.0
564	15	24	imagery	1846331	4	580.181171	5.0
579	3	24	evaluation	1846331	4	580.181171	5.0
582	3	24	inter_rest	1846331	4	580.181171	5.0
585	3	25	cue	4210120	42	604.808022	4.0
588	15	25	imagery	4210120	42	604.808022	4.0
603	3	25	evaluation	4210120	42	604.808022	4.0
606	3	25	inter_rest	4210120	42	604.808022	4.0
609	3	26	cue	3122295	24	628.635585	3.0
612	15	26	imagery	3122295	24	628.635585	3.0
627	3	26	evaluation	3122295	24	628.635585	3.0
630	3	26	inter_rest	3122295	24	628.635585	3.0
633	6	27	rest	n/a	n/a	n/a	n/a
