onset	duration	trial_no	event_type	category_id	response_time	evaluation
0	33	1	rest	null	null	null
33	3	2	cue	n01846331	52.957062	4
36	15	2	imagery	n01846331	52.957062	4
51	3	2	evaluation	n01846331	52.957062	4
54	3	2	inter_rest	n01846331	52.957062	4
57	3	3	cue	n02437136	76.931622	4
60	15	3	imagery	n02437136	76.931622	4
75	3	3	evaluation	n02437136	76.931622	4
78	3	3	inter_rest	n02437136	76.931622	4
81	3	4	cue	n02690373	100.925133	4
84	15	4	imagery	n02690373	100.925133	4
99	3	4	evaluation	n02690373	100.925133	4
102	3	4	inter_rest	n02690373	100.925133	4
105	3	5	cue	n04254777	0.000000	1
108	15	5	imagery	n04254777	0.000000	1
123	3	5	evaluation	n04254777	0.000000	1
126	3	5	inter_rest	n04254777	0.000000	1
129	3	6	cue	n03495258	149.329287	4
132	15	6	imagery	n03495258	149.329287	4
147	3	6	evaluation	n03495258	149.329287	4
150	3	6	inter_rest	n03495258	149.329287	4
153	3	7	cue	n04507155	173.105421	4
156	15	7	imagery	n04507155	173.105421	4
171	3	7	evaluation	n04507155	173.105421	4
174	3	7	inter_rest	n04507155	173.105421	4
177	3	8	cue	n01621127	196.765759	3
180	15	8	imagery	n01621127	196.765759	3
195	3	8	evaluation	n01621127	196.765759	3
198	3	8	inter_rest	n01621127	196.765759	3
201	3	9	cue	n02128385	220.843940	4
204	15	9	imagery	n02128385	220.843940	4
219	3	9	evaluation	n02128385	220.843940	4
222	3	9	inter_rest	n02128385	220.843940	4
225	3	10	cue	n03954393	245.768682	3
228	15	10	imagery	n03954393	245.768682	3
243	3	10	evaluation	n03954393	245.768682	3
246	3	10	inter_rest	n03954393	245.768682	3
249	3	11	cue	n04387400	269.228646	4
252	15	11	imagery	n04387400	269.228646	4
267	3	11	evaluation	n04387400	269.228646	4
270	3	11	inter_rest	n04387400	269.228646	4
273	3	12	cue	n03272010	292.555188	3
276	15	12	imagery	n03272010	292.555188	3
291	3	12	evaluation	n03272010	292.555188	3
294	3	12	inter_rest	n03272010	292.555188	3
297	3	13	cue	n02797295	317.215413	4
300	15	13	imagery	n02797295	317.215413	4
315	3	13	evaluation	n02797295	317.215413	4
318	3	13	inter_rest	n02797295	317.215413	4
321	3	14	cue	n02139199	341.359844	3
324	15	14	imagery	n02139199	341.359844	3
339	3	14	evaluation	n02139199	341.359844	3
342	3	14	inter_rest	n02139199	341.359844	3
345	3	15	cue	n03452741	365.168425	3
348	15	15	imagery	n03452741	365.168425	3
363	3	15	evaluation	n03452741	365.168425	3
366	3	15	inter_rest	n03452741	365.168425	3
369	3	16	cue	n02190790	389.211778	3
372	15	16	imagery	n02190790	389.211778	3
387	3	16	evaluation	n02190790	389.211778	3
390	3	16	inter_rest	n02190790	389.211778	3
393	3	17	cue	n02916179	413.372784	3
396	15	17	imagery	n02916179	413.372784	3
411	3	17	evaluation	n02916179	413.372784	3
414	3	17	inter_rest	n02916179	413.372784	3
417	3	18	cue	n03124170	436.584786	4
420	15	18	imagery	n03124170	436.584786	4
435	3	18	evaluation	n03124170	436.584786	4
438	3	18	inter_rest	n03124170	436.584786	4
441	3	19	cue	n03122295	460.991810	4
444	15	19	imagery	n03122295	460.991810	4
459	3	19	evaluation	n03122295	460.991810	4
462	3	19	inter_rest	n03122295	460.991810	4
465	3	20	cue	n03379051	485.470730	3
468	15	20	imagery	n03379051	485.470730	3
483	3	20	evaluation	n03379051	485.470730	3
486	3	20	inter_rest	n03379051	485.470730	3
489	3	21	cue	n01677366	508.928475	3
492	15	21	imagery	n01677366	508.928475	3
507	3	21	evaluation	n01677366	508.928475	3
510	3	21	inter_rest	n01677366	508.928475	3
513	3	22	cue	n03716966	533.271987	3
516	15	22	imagery	n03716966	533.271987	3
531	3	22	evaluation	n03716966	533.271987	3
534	3	22	inter_rest	n03716966	533.271987	3
537	3	23	cue	n02882301	0.000000	1
540	15	23	imagery	n02882301	0.000000	1
555	3	23	evaluation	n02882301	0.000000	1
558	3	23	inter_rest	n02882301	0.000000	1
561	3	24	cue	n03767745	581.675791	4
564	15	24	imagery	n03767745	581.675791	4
579	3	24	evaluation	n03767745	581.675791	4
582	3	24	inter_rest	n03767745	581.675791	4
585	3	25	cue	n03345837	604.721456	4
588	15	25	imagery	n03345837	604.721456	4
603	3	25	evaluation	n03345837	604.721456	4
606	3	25	inter_rest	n03345837	604.721456	4
609	3	26	cue	n02071294	0.000000	1
612	15	26	imagery	n02071294	0.000000	1
627	3	26	evaluation	n02071294	0.000000	1
630	3	26	inter_rest	n02071294	0.000000	1
633	6	27	rest	null	null	null
