onset	duration	trial_no	event_type	category_id	response_time	evaluation
0	33	1	rest	n/a	n/a	n/a
33	3	2	cue	3345837	52.441601	4
36	15	2	imagery	3345837	52.441601	4
51	3	2	evaluation	3345837	52.441601	4
54	3	2	inter_rest	3345837	52.441601	4
57	3	3	cue	2437136	76.999091	4
60	15	3	imagery	2437136	76.999091	4
75	3	3	evaluation	2437136	76.999091	4
78	3	3	inter_rest	2437136	76.999091	4
81	3	4	cue	4572121	100.842268	3
84	15	4	imagery	4572121	100.842268	3
99	3	4	evaluation	4572121	100.842268	3
102	3	4	inter_rest	4572121	100.842268	3
105	3	5	cue	1976957	124.704770	4
108	15	5	imagery	1976957	124.704770	4
123	3	5	evaluation	1976957	124.704770	4
126	3	5	inter_rest	1976957	124.704770	4
129	3	6	cue	1846331	148.796101	3
132	15	6	imagery	1846331	148.796101	3
147	3	6	evaluation	1846331	148.796101	3
150	3	6	inter_rest	1846331	148.796101	3
153	3	7	cue	3710193	175.624770	4
156	15	7	imagery	3710193	175.624770	4
171	3	7	evaluation	3710193	175.624770	4
174	3	7	inter_rest	3710193	175.624770	4
177	3	8	cue	3482252	196.815893	4
180	15	8	imagery	3482252	196.815893	4
195	3	8	evaluation	3482252	196.815893	4
198	3	8	inter_rest	3482252	196.815893	4
201	3	9	cue	3272010	220.642261	3
204	15	9	imagery	3272010	220.642261	3
219	3	9	evaluation	3272010	220.642261	3
222	3	9	inter_rest	3272010	220.642261	3
225	3	10	cue	2128385	245.286146	3
228	15	10	imagery	2128385	245.286146	3
243	3	10	evaluation	2128385	245.286146	3
246	3	10	inter_rest	2128385	245.286146	3
249	3	11	cue	3379051	268.845684	3
252	15	11	imagery	3379051	268.845684	3
267	3	11	evaluation	3379051	268.845684	3
270	3	11	inter_rest	3379051	268.845684	3
273	3	12	cue	4252077	293.140434	3
276	15	12	imagery	4252077	293.140434	3
291	3	12	evaluation	4252077	293.140434	3
294	3	12	inter_rest	4252077	293.140434	3
297	3	13	cue	3064758	317.366043	3
300	15	13	imagery	3064758	317.366043	3
315	3	13	evaluation	3064758	317.366043	3
318	3	13	inter_rest	3064758	317.366043	3
321	3	14	cue	4210120	340.727252	3
324	15	14	imagery	4210120	340.727252	3
339	3	14	evaluation	4210120	340.727252	3
342	3	14	inter_rest	4210120	340.727252	3
345	3	15	cue	3941684	364.522927	4
348	15	15	imagery	3941684	364.522927	4
363	3	15	evaluation	3941684	364.522927	4
366	3	15	inter_rest	3941684	364.522927	4
369	3	16	cue	3954393	0.000000	1
372	15	16	imagery	3954393	0.000000	1
387	3	16	evaluation	3954393	0.000000	1
390	3	16	inter_rest	3954393	0.000000	1
393	3	17	cue	2139199	412.706066	3
396	15	17	imagery	2139199	412.706066	3
411	3	17	evaluation	2139199	412.706066	3
414	3	17	inter_rest	2139199	412.706066	3
417	3	18	cue	3761084	436.968947	3
420	15	18	imagery	3761084	436.968947	3
435	3	18	evaluation	3761084	436.968947	3
438	3	18	inter_rest	3761084	436.968947	3
441	3	19	cue	4297750	461.477763	3
444	15	19	imagery	4297750	461.477763	3
459	3	19	evaluation	4297750	461.477763	3
462	3	19	inter_rest	4297750	461.477763	3
465	3	20	cue	2274259	484.552930	3
468	15	20	imagery	2274259	484.552930	3
483	3	20	evaluation	2274259	484.552930	3
486	3	20	inter_rest	2274259	484.552930	3
489	3	21	cue	4554684	508.729682	4
492	15	21	imagery	4554684	508.729682	4
507	3	21	evaluation	4554684	508.729682	4
510	3	21	inter_rest	4554684	508.729682	4
513	3	22	cue	4533802	532.872525	3
516	15	22	imagery	4533802	532.872525	3
531	3	22	evaluation	4533802	532.872525	3
534	3	22	inter_rest	4533802	532.872525	3
537	3	23	cue	3122295	0.000000	1
540	15	23	imagery	3122295	0.000000	1
555	3	23	evaluation	3122295	0.000000	1
558	3	23	inter_rest	3122295	0.000000	1
561	3	24	cue	3124170	0.000000	1
564	15	24	imagery	3124170	0.000000	1
579	3	24	evaluation	3124170	0.000000	1
582	3	24	inter_rest	3124170	0.000000	1
585	3	25	cue	3626115	606.554538	4
588	15	25	imagery	3626115	606.554538	4
603	3	25	evaluation	3626115	606.554538	4
606	3	25	inter_rest	3626115	606.554538	4
609	3	26	cue	3716966	629.212773	4
612	15	26	imagery	3716966	629.212773	4
627	3	26	evaluation	3716966	629.212773	4
630	3	26	inter_rest	3716966	629.212773	4
633	6	27	rest	n/a	n/a	n/a
